"question","sql"
"Tìm tất cả khách hàng đang hợp tác và chưa bị xóa","SELECT * FROM Customer WHERE CustomerStatut = 'Đang hợp tác' AND IsDeleted = 0"
"Liệt kê các tài sản có trạng thái tốt và thuộc phòng ban ID 14","SELECT * FROM Asset WHERE StatusAsset = 'Tốt' AND DivisionId = 14 AND IsDeleted = 0"
"Tìm tất cả nhân sự đang làm việc thuộc phòng Phát triển phần mềm (ID 14)","SELECT p.* FROM Personnel p JOIN Division d ON p.DivisionId = d.Id WHERE d.Id = 14 AND p.WorkStatus = 'Đang làm việc' AND p.IsDeleted = 0"
"Liệt kê các dự án đang sử dụng và thuộc phòng ban ID 23","SELECT * FROM Project WHERE ProjectStatus = 'Đang sử dụng' AND DepartmentId = 23 AND IsDeleted = 0"
"Tìm tất cả sản phẩm đang sử dụng và bắt đầu sau ngày 2024-08-01","SELECT * FROM Product WHERE ProductStatus = 'Đang sử dụng' AND ProductStartDate > '2024-08-01' AND IsDeleted = 0"
"Liệt kê các dịch vụ đang sử dụng","SELECT * FROM Service WHERE ServiceStatus = 'Đang sử dụng' AND IsDeleted = 0"
"Tìm các khóa đào tạo đang đào tạo do giảng viên ID 45 phụ trách","SELECT * FROM TrainingCourse WHERE ServiceStatus = 'Đang đào tạo' AND InstructorId = 45 AND IsDeleted = 0"
"Tìm khách hàng có email là 'jaykergg@gmail.com'","SELECT * FROM Customer WHERE Email = 'jaykergg@gmail.com' AND IsDeleted = 0"
"Liệt kê các phòng ban chưa bị xóa","SELECT * FROM Department WHERE IsDeleted = 0"
"Tìm tài sản có loại là 'Đồ điện tử' và giá trên 1 triệu","SELECT * FROM Asset WHERE AssetType = 'Đồ điện tử' AND Price > 1000000 AND IsDeleted = 0"
"Tìm tất cả dự án đã hoàn thành trước ngày 2024-01-01","SELECT * FROM Project WHERE ProjectStatus = 'Đã hoàn thành' AND ProjectEndDate < '2024-01-01' AND IsDeleted = 0"
"Liệt kê các nhân sự có email chứa '@aiacademy.edu.vn'","SELECT * FROM Personnel WHERE Email LIKE '%@aiacademy.edu.vn' AND IsDeleted = 0"
"Tìm các sản phẩm thuộc phòng ban ID 22 và đang sử dụng","SELECT * FROM Product WHERE DepartmentId = 22 AND ProductStatus = 'Đang sử dụng' AND IsDeleted = 0"
"Tìm khách hàng có liên kết với sản phẩm ID 5","SELECT c.* FROM Customer c JOIN Customer_Link cl ON c.Id = cl.CustomerId WHERE cl.RelatedId = 5 AND cl.RelatedType = 'Product' AND c.IsDeleted = 0"
"Liệt kê các tài sản thuộc bộ phận ID 8 và trạng thái chờ sửa chữa","SELECT * FROM Asset WHERE DivisionId = 8 AND StatusAsset = 'Chờ sửa chữa' AND IsDeleted = 0"
"Tìm các khóa đào tạo có thời lượng trên 10 tuần","SELECT * FROM TrainingCourse WHERE Duration > 10 AND IsDeleted = 0"
"Tìm tất cả tài liệu liên quan đến dự án ID 9","SELECT * FROM Document WHERE RelatedId = 9 AND RelatedType = 'Project' AND IsDeleted = 0"
"Liệt kê các sở hữu trí tuệ thuộc phòng ban ID 22","SELECT * FROM IntellectualProperty WHERE DepartmentId = 22 AND IsDeleted = 0"
"Tìm đối tác có trạng thái đang hợp tác","SELECT * FROM Partner WHERE PartnerStatus = 'Đang hợp tác' AND IsDeleted = 0"
"Tìm các vị trí công việc chưa bị xóa","SELECT * FROM Position WHERE IsDeleted = 0"
"Tìm các chủ đề đang sử dụng và thuộc phòng ban ID 23","SELECT * FROM Topic WHERE TopicStatus = 'Đang sử dụng' AND DepartmentId = 23 AND IsDeleted = 0"
"Tìm người dùng có vai trò admin","SELECT * FROM users WHERE Role = 'admin'"
"Đếm số lượng khách hàng đang hợp tác","SELECT COUNT(*) AS count FROM Customer WHERE CustomerStatut = 'Đang hợp tác' AND IsDeleted = 0"
"Tìm tài sản có số lượng lớn hơn 5","SELECT * FROM Asset WHERE Quantity > 5 AND IsDeleted = 0"
"Liệt kê nhân sự thuộc bộ phận ID 7 và sắp xếp theo tên","SELECT * FROM Personnel WHERE DivisionId = 7 AND IsDeleted = 0 ORDER BY PersonnelName"
"Tìm dự án có khách hàng ID 19","SELECT p.* FROM Project p WHERE p.CustomerId = 19 AND p.IsDeleted = 0"
"Tìm các khóa đào tạo đang đào tạo và sắp xếp theo thời lượng giảm dần","SELECT * FROM TrainingCourse WHERE ServiceStatus = 'Đang đào tạo' AND IsDeleted = 0 ORDER BY Duration DESC"
"Tìm tài sản do nhân sự ID 45 quản lý","SELECT * FROM Asset WHERE PersonnelId = 45 AND IsDeleted = 0"
"Tìm khách hàng có số điện thoại là '0865730526'","SELECT * FROM Customer WHERE PhoneNumber = '0865730526' AND IsDeleted = 0"
"Liệt kê các sản phẩm tạm dừng","SELECT * FROM Product WHERE ProductStatus = 'Tạm dừng' AND IsDeleted = 0"
"Tìm các tài liệu liên quan đến sản phẩm ID 4","SELECT * FROM Document WHERE RelatedId = 4 AND RelatedType = 'Product' AND IsDeleted = 0"
"Tìm bộ phận thuộc phòng ban ID 23","SELECT * FROM Division WHERE DepartmentId = 23 AND IsDeleted = 0"
"Tìm nhân sự có vị trí ID 24 (Trưởng phòng)","SELECT p.* FROM Personnel p WHERE p.PositionId = 24 AND p.IsDeleted = 0"
"Tìm dự án hợp tác với đối tác ID 2","SELECT * FROM Project WHERE PartnerId = 2 AND IsDeleted = 0"
"Tìm các khóa đào tạo có trạng thái đang diễn ra","SELECT * FROM TrainingCourse WHERE ServiceStatus = 'Đang diễn ra' AND IsDeleted = 0"
"Tìm khách hàng liên kết với khóa đào tạo ID 15","SELECT c.* FROM Customer c JOIN Customer_Link cl ON c.Id = cl.CustomerId WHERE cl.RelatedId = 15 AND cl.RelatedType = 'TrainingCourse' AND c.IsDeleted = 0"
"Đếm số lượng tài sản theo loại","SELECT AssetType, COUNT(*) AS count FROM Asset WHERE IsDeleted = 0 GROUP BY AssetType"
"Tìm nhân sự đã nghỉ việc","SELECT * FROM Personnel WHERE WorkStatus = 'Đã nghỉ việc' AND IsDeleted = 0"
"Tìm các dự án bắt đầu trong năm 2024","SELECT * FROM Project WHERE YEAR(ProjectStartDate) = 2024 AND IsDeleted = 0"
